Feature,Index,Original Value,Imputed Value
Input Resistance,651,nan,226.05745864661094
Maximum firing ,632,nan,0.55019341184029
Maximum firing ,637,nan,4.415336494645017
Rheobase,452,nan,21.208741482805245
EPSC freq,27,nan,1.5641748577690366
EPSC freq,49,nan,0.5
EPSC freq,52,nan,0.5
EPSC freq,56,nan,1.2654364428033724
EPSC freq,57,nan,0.5
EPSC freq,60,nan,2.7988940992516147
EPSC freq,61,nan,0.5
EPSC freq,62,nan,3.532497542647078
EPSC freq,64,nan,0.5
EPSC freq,66,nan,0.5
EPSC freq,73,nan,2.707261627456842
EPSC freq,75,nan,2.1894802889778124
EPSC freq,76,nan,3.2205147692734153
EPSC freq,77,nan,0.5
EPSC freq,78,nan,0.5
EPSC freq,81,nan,0.5
EPSC freq,82,nan,1.2187384784125253
EPSC freq,89,nan,0.5
EPSC freq,93,nan,0.5
EPSC freq,94,nan,0.7909244554102666
EPSC freq,105,nan,2.4443813950597084
EPSC freq,106,nan,0.9517060375463955
EPSC freq,111,nan,0.543617637147181
EPSC freq,113,nan,1.6917296281441148
EPSC freq,115,nan,1.6868125678663861
EPSC freq,116,nan,0.5
EPSC freq,117,nan,0.5
EPSC freq,128,nan,2.2062980901580014
EPSC freq,129,nan,1.1322713125035013
EPSC freq,163,nan,3.4124692219909862
EPSC freq,164,nan,2.0609380109289375
EPSC freq,169,nan,0.5
EPSC freq,171,nan,2.3313032569984333
EPSC freq,172,nan,0.5
EPSC freq,173,nan,0.5
EPSC freq,174,nan,0.5
EPSC freq,183,nan,0.5
EPSC freq,192,nan,0.5
EPSC freq,310,nan,0.5
EPSC freq,366,nan,0.5
EPSC freq,370,nan,0.5
EPSC freq,390,nan,0.5
EPSC freq,398,nan,2.0075704109197505
EPSC freq,439,nan,1.4367229348717898
EPSC freq,440,nan,0.5866738993667701
EPSC freq,456,nan,3.092924985671381
EPSC freq,457,nan,1.8097438496578078
EPSC freq,458,nan,1.7697140266873053
EPSC freq,459,nan,1.0221795433383676
EPSC freq,461,nan,1.0769738384801761
EPSC freq,462,nan,1.6981041175511127
EPSC freq,463,nan,2.2063648778398357
EPSC freq,464,nan,1.228125352343408
EPSC freq,473,nan,0.9988326008256652
EPSC freq,476,nan,1.8251965020470964
EPSC freq,478,nan,0.5328901303047596
EPSC freq,482,nan,2.4019335314618235
EPSC freq,500,nan,3.438313724100485
EPSC freq,502,nan,0.6259317029116744
EPSC freq,503,nan,5.007394202923363
EPSC freq,505,nan,3.1370473666215144
EPSC freq,506,nan,3.640982006408202
EPSC freq,507,nan,1.274745071318059
EPSC freq,510,nan,2.6482768427443393
EPSC freq,513,nan,2.885103717965265
EPSC freq,514,nan,2.153733265372789
EPSC freq,518,nan,2.116570433059146
EPSC freq,520,nan,2.7682026373229722
EPSC freq,542,nan,0.6104779475941422
EPSC freq,574,nan,3.1592015312709454
EPSC freq,578,nan,3.037945489100095
EPSC freq,582,nan,1.637898035522764
EPSC freq,593,nan,2.802856584723621
EPSC freq,600,nan,1.5307677697945214
EPSC freq,601,nan,2.2053852965842835
EPSC freq,602,nan,0.7683013189946886
EPSC freq,603,nan,0.6013983380448382
EPSC freq,630,nan,1.4580690602415758
EPSC freq,631,nan,0.5
EPSC freq,637,nan,1.4534504691085923
EPSC freq,640,nan,1.4724082844615016
